DOID	PubChem
3-Methylglutaconic aciduria type VII	1551553
3-Phosphoglycerate dehydrogenase deficiency	750
3-Phosphoglycerate dehydrogenase deficiency	5951
5-oxoprolinase deficiency	7405
6-Pyruvoyltetrahydropterin synthase deficiency	445040
6-Pyruvoyltetrahydropterin synthase deficiency	6140
Abetalipoproteinemia	14985
Abetalipoproteinemia	5997
Abetalipoproteinemia	53477677
Aceruloplasminemia	27099
Aceruloplasminemia	27284
Acrodermatitis enteropathica	32051
"ACTH deficiency, isolated"	5754
Acute Infantile Liver Failure	61503
Acute intermittent porphyria	137
Acute intermittent porphyria	1021
Acute liver disease	461776
Acute liver failure	23617285
Acute Lymphoblastic Leukemia	171548
Acute Lymphoblastic Leukemia	5280497
Acute myelogenous leukemia	5997
Acute myelogenous leukemia	5793
Acute promyelocytic leukemia	545
Acute seizures	67678
Addison's Disease	5793
Addison's Disease	5816
Adenosine deaminase deficiency	78821
Adenosine deaminase deficiency	13730
Adenosine deaminase deficiency	15993
Adenosine kinase deficiency	60961
Adenosine kinase deficiency	6137
Adenosine kinase deficiency	439155
Adenosine kinase deficiency	16757548
Adenosine kinase deficiency	1188
Adenylosuccinate lyase deficiency	60961
Adenylosuccinate lyase deficiency	13730
Adenylosuccinate lyase deficiency	20849086
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	91451
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	6238
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	441
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	6128
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5283731
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	24526
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5754
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	9860744
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	12594
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5793
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5757
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5920
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	813
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5994
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	923
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	10204
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"	5819
Adrenal hypoplasia	5754
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	91451
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	6238
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	24758425
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	6128
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	5754
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	9860744
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	5793
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	10635
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	813
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	8955
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	5994
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	923
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	10204
Adrenoleukodystrophy	10469
Adrenoleukodystrophy	439227
Adrenoleukodystrophy	26840
Adrenoleukodystrophy	849
Adrenoleukodystrophy	122166
"Adrenoleukodystrophy, neonatal"	10469
"Adrenoleukodystrophy, neonatal"	123929
Adrenomyeloneuropathy	5281116
Adrenomyeloneuropathy	10469
AIDS	439234
AIDS	264
AIDS	135191
AIDS	5862
AIDS	5283134
AIDS	6251
AIDS	4455
AIDS	1066
Alcoholism	6568
Alcoholism	92810
Alcoholism	123743
Alcoholism	177
Alcoholism	180
Alcoholism	92786
Alcoholism	6569
Alcoholism	10635
Alcoholism	702
Alcoholism	702
Alcoholism	3776
Alcoholism	887
Alcoholism	938
Alcoholism	6613
Alcoholism	5994
Alcoholism	493570
Alcoholism	101771
Alcoholism	1130
Aldehyde dehydrogenase deficiency	177
Aldosteronism	160706
Alkaptonuria	780
Alpha-1-antitrypsin deficiency	23617285
Alpha-aminoadipic aciduria	193530
Alpha-aminoadipic aciduria	469
Alpha-aminoadipic aciduria	71
Alpha-aminoadipic and alpha-ketoadipic aciduria	469
Alpha-aminoadipic and alpha-ketoadipic aciduria	5962
Alpha-Methylacyl-CoA racemase deficiency	26840
Alpha-Methylacyl-CoA racemase deficiency	123929
Alzheimer's disease	64960
Alzheimer's disease	3614
Alzheimer's disease	92105
Alzheimer's disease	121948
Alzheimer's disease	123976
Alzheimer's disease	11266
Alzheimer's disease	547
Alzheimer's disease	441
Alzheimer's disease	64969
Alzheimer's disease	724
Alzheimer's disease	5283344
Alzheimer's disease	5810
Alzheimer's disease	3032849
Alzheimer's disease	65154
Alzheimer's disease	65131
Alzheimer's disease	187
Alzheimer's disease	190
Alzheimer's disease	60961
Alzheimer's disease	6083
Alzheimer's disease	5359268
Alzheimer's disease	112072
Alzheimer's disease	104810
Alzheimer's disease	107649
Alzheimer's disease	239
Alzheimer's disease	247
Alzheimer's disease	105143
Alzheimer's disease	31193
Alzheimer's disease	271
Alzheimer's disease	439224
Alzheimer's disease	305
Alzheimer's disease	643757
Alzheimer's disease	311
Alzheimer's disease	9750
Alzheimer's disease	104729
Alzheimer's disease	27099
Alzheimer's disease	586
Alzheimer's disease	588
Alzheimer's disease	6253
Alzheimer's disease	6131
Alzheimer's disease	12594
Alzheimer's disease	23327
Alzheimer's disease	668
Alzheimer's disease	836
Alzheimer's disease	681
Alzheimer's disease	439167
Alzheimer's disease	439184
Alzheimer's disease	22833559
Alzheimer's disease	53481554
Alzheimer's disease	7015684
Alzheimer's disease	27284
Alzheimer's disease	6037
Alzheimer's disease	69507
Alzheimer's disease	444972
Alzheimer's disease	11850
Alzheimer's disease	119
Alzheimer's disease	439165
Alzheimer's disease	5958
Alzheimer's disease	439162
Alzheimer's disease	71920
Alzheimer's disease	750
Alzheimer's disease	79101
Alzheimer's disease	764
Alzheimer's disease	778
Alzheimer's disease	790
Alzheimer's disease	1198
Alzheimer's disease	134490
Alzheimer's disease	5950
Alzheimer's disease	80283
Alzheimer's disease	439255
Alzheimer's disease	6322
Alzheimer's disease	6267
Alzheimer's disease	5960
Alzheimer's disease	439258
Alzheimer's disease	5862
Alzheimer's disease	67678
Alzheimer's disease	6047
Alzheimer's disease	73212
Alzheimer's disease	33032
Alzheimer's disease	5961
Alzheimer's disease	6274
Alzheimer's disease	6306
Alzheimer's disease	28486
Alzheimer's disease	61503
Alzheimer's disease	5962
Alzheimer's disease	222656
Alzheimer's disease	6140
Alzheimer's disease	145742
Alzheimer's disease	5951
Alzheimer's disease	6288
Alzheimer's disease	6305
Alzheimer's disease	6057
Alzheimer's disease	6287
Alzheimer's disease	888
Alzheimer's disease	27854
Alzheimer's disease	6251
Alzheimer's disease	26623
Alzheimer's disease	487
Alzheimer's disease	185498
Alzheimer's disease	934
Alzheimer's disease	6262
Alzheimer's disease	975
Alzheimer's disease	119593
Alzheimer's disease	1005
Alzheimer's disease	1014
Alzheimer's disease	11902892
Alzheimer's disease	1045
Alzheimer's disease	1060
Alzheimer's disease	439155
Alzheimer's disease	1088
Alzheimer's disease	4082203
Alzheimer's disease	5780
Alzheimer's disease	1102
Alzheimer's disease	104798
Alzheimer's disease	44359816
Alzheimer's disease	1110
Alzheimer's disease	24642
Alzheimer's disease	3382778
Alzheimer's disease	1132
Alzheimer's disease	6030
Alzheimer's disease	32051
Aminoacylase I deficiency	10972
Aminoacylase I deficiency	65249
Amish lethal microcephaly	643757
Amish lethal microcephaly	311
Amish lethal microcephaly	444972
Amish lethal microcephaly	5950
Amish lethal microcephaly	61503
Amish lethal microcephaly	51
Amish lethal microcephaly	444212
Amphetamine psychosis	1237
Amyotrophic lateral sclerosis	778
Amyotrophic lateral sclerosis	5461103
Amyotrophic lateral sclerosis	27854
Amyotrophic lateral sclerosis	943
Amyotrophic lateral sclerosis	1018
Amyotrophic lateral sclerosis	5280360
Amyotrophic lateral sclerosis	1066
Anemia	3845
Anemia	849
Anemia	1066
"Anemia, congenital dyserythropoietic, type II"	21252250
Anephric patients	12895043
Anephric patients	53477727
Anephric patients	22833566
Anephric patients	5283731
Anephric patients	5280793
Anephric patients	5280795
Angina	53477781
Anorexia nervosa	92748
Anorexia nervosa	196
Anorexia nervosa	5754
Anorexia nervosa	643975
Anorexia nervosa	643976
Anorexia nervosa	802
Anorexia nervosa	5920
Anorexia nervosa	493570
Anorexia nervosa	12444617
Anorexia nervosa	5819
Anoxia	441
Anoxia	96
Anoxia	1198
Anoxia	33032
Anoxia	61503
Anoxia	222656
Anoxia	970
Anoxia	51
Anoxia	1060
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	91451
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	6238
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	5997
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	5754
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	9860744
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	5994
Apparent mineralocorticoid excess	5754
Apparent mineralocorticoid excess	813
Appendicitis	802
Argininemia	16950
Argininemia	6322
Argininemia	1174
Argininemia	6029
Argininosuccinic aciduria	175
Argininosuccinic aciduria	222
Argininosuccinic aciduria	16950
Argininosuccinic aciduria	247
Argininosuccinic aciduria	311
Argininosuccinic aciduria	9750
Argininosuccinic aciduria	750
Argininosuccinic aciduria	464
Argininosuccinic aciduria	6322
Argininosuccinic aciduria	6274
Argininosuccinic aciduria	1145
Argininosuccinyl-CoA lyase deficiency	16950
Aromatase deficiency	5754
Aromatase deficiency	9860744
Aromatase deficiency	12594
Aromatase deficiency	5757
Aromatase deficiency	5756
Aromatase deficiency	5870
Aromatase deficiency	10204
Aromatic L-amino acid decarboxylase deficiency	1670
Aromatic L-amino acid decarboxylase deficiency	1826
Aromatic L-amino acid decarboxylase deficiency	439280
Aromatic L-amino acid decarboxylase deficiency	1738
Aromatic L-amino acid decarboxylase deficiency	6047
Aromatic L-amino acid decarboxylase deficiency	68310
Aromatic L-amino acid decarboxylase deficiency	12681285
Aromatic L-amino acid decarboxylase deficiency	1237
Aromatic L-amino acid decarboxylase deficiency	5202
Aromatic L-amino acid decarboxylase deficiency	160637
Aromatic L-amino acid decarboxylase deficiency	736172
Aromatic L-amino acid decarboxylase deficiency	14124
Aseptic meningitis	5283128
Aseptic meningitis	5283134
Aspartylglucosaminuria	123826
Asthma	79437
Asthma	70346
Asthma	91611
Asthma	5280886
Asthma	80220
Asthma	119226
Asthma	70639
Asthma	5280733
Asthma	68374
Athyreosis	439744
ATIC deficiency	17513
ATIC deficiency	160666
ATIC deficiency	20849086
ATIC deficiency	1175
Atrophic gastritis	123743
Autism	10976
Autism	7341
Autism	11508
Autism	545258
Autism	13895
Autism	5369084
Autism	8129
Autism	10703
Autism	520710
Autism	6276
Autism	33191
Autism	7409
Autism	5365103
Autism	7958
Autism	8697
Autism	7775
Autism	20995
Autism	6054
Autism	123543
Autism	102959
Autism	11509
Autism	8052
Autism	6736
Autism	7755
Autism	8814
Autism	31246
Autism	7393
Autism	175
Autism	70678558
Autism	240
Autism	241
Autism	6569
Autism	7981
Autism	7983
Autism	264
Autism	8892
Autism	6348
Autism	6212
Autism	83887
Autism	6781
Autism	19310
Autism	12232
Autism	439250
Autism	702
Autism	7342
Autism	8857
Autism	7762
Autism	31265
Autism	7945
Autism	10882
Autism	7749
Autism	8314
Autism	140765
Autism	643820
Autism	750
Autism	8094
Autism	11551966
Autism	8908
Autism	17525
Autism	88454
Autism	70694
Autism	1738
Autism	798
Autism	802
Autism	10430
Autism	5950
Autism	6322
Autism	439258
Autism	5862
Autism	33032
Autism	6274
Autism	6306
Autism	6106
Autism	5962
Autism	6137
Autism	6140
Autism	145742
Autism	5951
Autism	6288
Autism	6305
Autism	6057
Autism	6287
Autism	6584
Autism	12180
Autism	7909
Autism	6424504
Autism	12206
Autism	31289
Autism	454
Autism	356
Autism	379
Autism	957
Autism	7797
Autism	6262
Autism	7237
Autism	2879
Autism	996
Autism	998
Autism	1001
Autism	1032
Autism	7770
Autism	12293
Autism	20849086
Autism	1140
Autism	7991
Autism	18648
Autism	11520
Autosomal dominant polycystic kidney disease	6443013
Autosomal dominant polycystic kidney disease	457
Autosomal dominant polycystic kidney disease	189028
Autosomal dominant polycystic kidney disease	6426901
Autosomal dominant polycystic kidney disease	193872
Autosomal dominant polycystic kidney disease	69362
Autosomal dominant polycystic kidney disease	70639
Autosomal dominant polycystic kidney disease	72924
Autosomal dominant polycystic kidney disease	123831
Autosomal dominant polycystic kidney disease	193872
Autosomal dominant polycystic kidney disease	670
Autosomal dominant polycystic kidney disease	674
Autosomal dominant polycystic kidney disease	8988
Autosomal dominant polycystic kidney disease	71077
Autosomal dominant polycystic kidney disease	702
Autosomal dominant polycystic kidney disease	700
Autosomal dominant polycystic kidney disease	283
Autosomal dominant polycystic kidney disease	750
Autosomal dominant polycystic kidney disease	8299
Autosomal dominant polycystic kidney disease	790
Autosomal dominant polycystic kidney disease	1198
Autosomal dominant polycystic kidney disease	2724705
Autosomal dominant polycystic kidney disease	33032
Autosomal dominant polycystic kidney disease	6274
Autosomal dominant polycystic kidney disease	6306
Autosomal dominant polycystic kidney disease	61503
Autosomal dominant polycystic kidney disease	5962
Autosomal dominant polycystic kidney disease	145742
Autosomal dominant polycystic kidney disease	5951
Autosomal dominant polycystic kidney disease	6288
Autosomal dominant polycystic kidney disease	6287
Autosomal dominant polycystic kidney disease	25561
Autosomal dominant polycystic kidney disease	68310
Autosomal dominant polycystic kidney disease	439924
Autosomal dominant polycystic kidney disease	68499
Autosomal dominant polycystic kidney disease	289
Autosomal dominant polycystic kidney disease	7405
Autosomal dominant polycystic kidney disease	338
Autosomal dominant polycystic kidney disease	5988
Autosomal dominant polycystic kidney disease	169148
Autosomal dominant polycystic kidney disease	1123
Autosomal dominant polycystic kidney disease	5429
Autosomal dominant polycystic kidney disease	5570
Bacterial infections	6140
Bacterial meningitis	681
Bacterial meningitis	5816
Bacterial meningitis	439260
Bacterial meningitis	1175
"Bartter Syndrome, Type 1, Antenatal"	24758425
"Bartter Syndrome, Type 1, Antenatal"	271
"Bartter Syndrome, Type 1, Antenatal"	24526
"Bartter Syndrome, Type 1, Antenatal"	888
"Bartter Syndrome, Type 1, Antenatal"	813
"Bartter Syndrome, Type 1, Antenatal"	923
"Bartter Syndrome, Type 2, Antenatal"	6238
"Bartter Syndrome, Type 2, Antenatal"	24758425
"Bartter Syndrome, Type 2, Antenatal"	271
"Bartter Syndrome, Type 2, Antenatal"	24526
"Bartter Syndrome, Type 2, Antenatal"	5754
"Bartter Syndrome, Type 2, Antenatal"	588
"Bartter Syndrome, Type 2, Antenatal"	767
"Bartter Syndrome, Type 2, Antenatal"	888
"Bartter Syndrome, Type 2, Antenatal"	813
"Bartter Syndrome, Type 2, Antenatal"	923
"Bartter Syndrome, Type 2, Antenatal"	1176
"Bartter Syndrome, Type 3"	271
"Bartter Syndrome, Type 3"	280
"Bartter Syndrome, Type 3"	24526
"Bartter Syndrome, Type 3"	888
"Bartter Syndrome, Type 3"	813
"Bartter Syndrome, Type 3"	923
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	24758425
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	5283731
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	271
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	588
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	767
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	888
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	1004
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	813
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"	923
"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"	24758425
"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"	24526
"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"	588
"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"	767
"Bartter Syndrome, Type 5, Antenatal, Transient"	271
"Bartter Syndrome, Type 5, Antenatal, Transient"	24526
"Bartter Syndrome, Type 5, Antenatal, Transient"	767
"Bartter Syndrome, Type 5, Antenatal, Transient"	813
"Bartter Syndrome, Type 5, Antenatal, Transient"	923
Beckwith-Wiedemann Syndrome	5793
Benign gynecological diseases	5754
Benign gynecological diseases	5757
Benign prostatic hyperplasia	441301
Benzene exposure	5280518
Beta-ketothiolase deficiency	160471
Beta-ketothiolase deficiency	150996
Beta-ketothiolase deficiency	6441567
beta-Mannosidosis	53477853
Beta-mercaptolactate-cysteine Disulfiduria	160645
Beta-mercaptolactate-cysteine Disulfiduria	98
Beta-mercaptolactate-cysteine Disulfiduria	9322
Beta-mercaptolactate-cysteine Disulfiduria	1085
Beta-thalassemia	83944
Beta-thalassemia	22833558
Beta-ureidopropionase deficiency	93556
Beta-ureidopropionase deficiency	1135
Beta-ureidopropionase deficiency	160663
"Bile Acid Synthesis Defect, Congenital, 1"	92997
"Bile Acid Synthesis Defect, Congenital, 1"	21252250
Biliary atresia	53477689
Biliary atresia	10133
Biliary atresia	22833540
Biliary atresia	221493
Biliary atresia	23617285
Biliary atresia	757
Biliary atresia	53477741
Biliary atresia	9903
Biliary atresia	387316
Biliary atresia	6675
Biotinidase deficiency	515
Biotinidase deficiency	69362
Biotinidase deficiency	169485
Biotinidase deficiency	68152
Bipolar disorder	1826
Bipolar disorder	5754
Bladder infections	12025
Bladder infections	444899
Bladder infections	264
Bladder infections	674
Bladder infections	6037
Bladder infections	751
Bladder infections	760
Bladder infections	5280450
Brain tumors	123675
Brain tumors	5283137
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency	757
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency	68152
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency	70
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency	6306
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency	6106
Brown-Vialetto-Van Laere Syndrome 1	588
Brown-Vialetto-Van Laere Syndrome 1	493570
Brunner Syndrome	1669
Brunner Syndrome	1826
Brunner Syndrome	1738
Brunner Syndrome	1237
Brunner Syndrome	5202
Brunner Syndrome	5610
Brunner Syndrome	736172
Bulimia nervosa	1001
Cachexia	6305
Cachexia	6057
Cachexia	6287
Cachexia	1175
Cadmium exposure	10204
Canavan disease	69726
Canavan disease	1673
Canavan disease	54670067
Canavan disease	311
Canavan disease	588
Canavan disease	6253
Canavan disease	124886
Canavan disease	790
Canavan disease	6021
Canavan disease	5255
Canavan disease	65065
Canavan disease	967
Canavan disease	975
Canavan disease	15047
Canavan disease	1110
Canavan disease	5789
Canavan disease	1174
Canavan disease	1175
Canavan disease	6029
Canavan disease	1188
Cancer with metastatic bone disease	80283
Carbamoyl Phosphate Synthetase Deficiency	1826
Carbamoyl Phosphate Synthetase Deficiency	750
Carbamoyl Phosphate Synthetase Deficiency	5961
Carbamoyl Phosphate Synthetase Deficiency	5962
Carbamoyl Phosphate Synthetase Deficiency	1174
Cardiac arrest	5283078
Cardiopulmonary bypass	5283128
Cardiopulmonary resuscitation	5280888
Carnitine palmitoyltransferase I deficiency	441
Carnitine palmitoyltransferase I deficiency	222
Carnitine palmitoyltransferase I deficiency	5793
Carnitine palmitoyltransferase I deficiency	767
Carnitine palmitoyltransferase I deficiency	2724480
Carnitine transporter defect; primary systemic carnitine deficiency	5793
Carnitine transporter defect; primary systemic carnitine deficiency	2724480
Carnitine-acylcarnitine translocase deficiency	196
Carnitine-acylcarnitine translocase deficiency	12736
Carnitine-acylcarnitine translocase deficiency	5192
Carnitine-acylcarnitine translocase deficiency	10457
Carnosinuria	439224
Celiac disease	6654
Celiac disease	6654
Celiac disease	10976
Celiac disease	7284
Celiac disease	18827
Celiac disease	6971249
Celiac disease	448893
Celiac disease	136810
Celiac disease	263
Celiac disease	521300
Celiac disease	10703
Celiac disease	8815
Celiac disease	17095
Celiac disease	12741
Celiac disease	22556
Celiac disease	7362
Celiac disease	8051
Celiac disease	12297
Celiac disease	12367
Celiac disease	13187
Celiac disease	5354833
Celiac disease	11583
Celiac disease	7895
Celiac disease	19602
Celiac disease	20995
Celiac disease	6054
Celiac disease	11622
Celiac disease	8163
Celiac disease	11509
Celiac disease	5363229
Celiac disease	31246
Celiac disease	8858
Celiac disease	12748
Celiac disease	1826
Celiac disease	175
Celiac disease	179
Celiac disease	180
Celiac disease	86609
Celiac disease	240
Celiac disease	241
Celiac disease	5281515
Celiac disease	14896
Celiac disease	6569
Celiac disease	61812
Celiac disease	11529
Celiac disease	264
Celiac disease	213144
Celiac disease	8892
Celiac disease	6348
Celiac disease	6212
Celiac disease	101977
Celiac disease	8175
Celiac disease	10245190
Celiac disease	650
Celiac disease	19310
Celiac disease	12232
Celiac disease	168381
Celiac disease	702
Celiac disease	8857
Celiac disease	7762
Celiac disease	10882
Celiac disease	246728
Celiac disease	7749
Celiac disease	8314
Celiac disease	23617285
Celiac disease	10686
Celiac disease	8130
Celiac disease	11006
Celiac disease	6184
Celiac disease	1738
Celiac disease	798
Celiac disease	6590
Celiac disease	12587
Celiac disease	31260
Celiac disease	11552
Celiac disease	10430
Celiac disease	6426851
Celiac disease	11333
Celiac disease	6267
Celiac disease	8194
Celiac disease	101977
Celiac disease	3246938
Celiac disease	6274
Celiac disease	6137
Celiac disease	11953814
Celiac disease	11953816
Celiac disease	145742
Celiac disease	6305
Celiac disease	16666
Celiac disease	12180
Celiac disease	7909
Celiac disease	637920
Celiac disease	8182
Celiac disease	12401
Celiac disease	31289
Celiac disease	335
Celiac disease	454
Celiac disease	957
